Japanese_format;US_format;NZ_format;Excel_Numeric_Format
20/01/2017;1/20/2017;20/01/2017;42755
21/01/2017;1/21/2017;21/01/2017;42756
22/01/2017;1/22/2017;22/01/2017;42757
23/01/2017;1/23/2017;23/01/2017;42758
24/01/2017;1/24/2017;24/01/2017;42759
25/01/2017;1/25/2017;25/01/2017;42760
26/01/2017;1/26/2017;26/01/2017;42761
27/01/2017;1/27/2017;27/01/2017;42762
28/01/2017;1/28/2017;28/01/2017;42763
29/01/2017;1/29/2017;29/01/2017;42764
30/01/2017;1/30/2017;30/01/2017;42765
31/01/2017;1/31/2017;31/01/2017;42766
1/02/2017;2/01/2017;1/02/2017;42767
2/02/2017;2/02/2017;2/02/2017;42768
3/02/2017;2/03/2017;3/02/2017;42769
4/02/2017;2/04/2017;4/02/2017;42770
5/02/2017;2/05/2017;5/02/2017;42771
6/02/2017;2/06/2017;6/02/2017;42772
7/02/2017;2/07/2017;7/02/2017;42773
8/02/2017;2/08/2017;8/02/2017;42774
9/02/2017;2/09/2017;9/02/2017;42775
10/02/2017;2/10/2017;10/02/2017;42776
